,Adj Close,log_returns,5d_return,omega,alpha[1],beta[1],h.1,h.2,h.3,h.4,h.5,5d_volaility,Quantiles
2021-03-08,14956.200195,0.12109725486562864,1.893286458886274,0.026338856068499807,0.08722703997726232,0.8826885424933417,1.9004429747008131,1.8696081108276064,1.8397008958736234,1.8106934220614574,1.7825586212029296,9.20300402466643,3
2021-03-09,15098.400391,0.9462861215541525,2.621085179215772,0.02685858109697083,0.08786612624667094,0.8816828147569409,1.769638174690473,1.7426093993276834,1.7164036787980665,1.6909959502103398,1.666361913864802,8.586009116891365,3
2021-03-10,15174.799805,0.5047340598219027,1.2786663911103697,0.027646989934921217,0.08868508022557021,0.8801998172979308,1.5994415018286894,1.5773217055290456,1.5558901689580245,1.5351254768436395,1.5150068802522865,7.782785733411686,3
2021-03-12,15030.950195,-0.9524722776658865,-0.44077841720700484,0.027374031272423608,0.08820948611059934,0.8807819852162851,1.5284091769683241,1.5083894884524727,1.4889905810219917,1.470193205168796,1.4519787082837234,7.447961159895308,3
2021-03-15,14929.5,-0.6772300288045202,2.718211824553951,0.027246394961880697,0.08781617592973721,0.8810884360229574,1.4213617734676143,1.4044103725279133,1.387986081978378,1.372072511116882,1.3566537789165427,6.94248451800733,3
2021-03-16,14910.450195,-0.1276798886288503,1.0036508486872047,0.027432219687685847,0.08766554204970878,0.8808096805704833,1.278657879833418,1.265780694514418,1.2533094595958783,1.2412313775817965,1.2295340544143838,6.268513465939895,3
2021-03-17,14721.299805,-1.276691111335284,-1.3346833659904267,0.027096452594109192,0.087356298340991,0.881546976369423,1.3169591180525193,1.303102454734934,1.2896766882699657,1.276668419176561,1.2640646646536466,6.450471344887626,3
2021-03-18,14557.849609,-1.1165071200961487,-4.616057101379692,0.026792531124441635,0.08706372963362975,0.8820425263888914,1.3118741240508835,1.2981379518562177,1.2848261414485644,1.271925582703522,1.2594235705175154,6.426187370576704,2
2021-03-19,14744.0,1.270588019603426,-2.2582875723566795,0.0264777667349272,0.08694193212916829,0.8824346466643523,1.310501236129098,1.2968469715184319,1.283610847204203,1.27078005829999,1.2583421920488023,6.420081305200525,3
2021-03-22,14736.400391,-0.05155702817835796,-1.3594319988639345,0.026836308996337536,0.0870300534634941,0.8818535944441943,1.1805981217665367,1.170698523926465,1.1611069654583572,1.1518138613006572,1.1428099246439587,5.8070273970959745,3
2021-03-23,14814.75,0.5302656008343999,-0.9502636528951635,0.027036629388211664,0.08717066702947235,0.8812578690124928,1.0815744779633616,1.0744642177026227,1.0675784387674379,1.0609100539537282,1.054452199810823,5.3389793881979735,3
2021-03-24,14549.400391,-1.8073523566296257,-3.7039021310789417,0.026362296660488338,0.08668249299039198,0.8826585040599326,1.2935127897103231,1.2802172739356399,1.2673293854183099,1.2548366267130477,1.2427268835337801,6.338622959311101,2
2021-03-25,14324.900391,-1.555047345901228,-5.7636835368020725,0.026171059976509852,0.08664985758613453,0.883142502954025,1.4004885387448784,1.384354145875344,1.368707134928516,1.353532783246994,1.3388168129101043,6.845899415705836,2
2021-03-26,14507.299805,1.265264850454342,-3.5459464086818437,0.026196385577385052,0.08684259994257766,0.8831518417566788,1.389555916904661,1.37405790140522,1.3590249125133935,1.344442996846195,1.3302986196996853,6.797380347369154,2
2021-03-30,14845.099609,2.3017860555899663,-0.5669303242873571,0.025625711104997617,0.08762804379334363,0.8833457516105218,1.6968092475932997,1.6731830263170409,1.6502425845733804,1.627968016785297,1.606339995159121,8.25454287042814,3
2021-03-31,14690.700195,-1.0455164341441692,-1.4847668698026761,0.02564053020912886,0.08778425073350661,0.8829740302724148,1.6316207700050844,1.6095499041528225,1.5881244283577685,1.5673254703052277,1.5471347095394292,7.943755282360332,3
2021-04-01,14867.349609,1.1952853340136047,0.9872095755462125,0.025636879638080208,0.08769719143029517,0.8831592252462614,1.5782640286781773,1.5579046390900815,1.5381385950688609,1.5189486043985476,1.5003178788203106,7.693573746055978,3
2021-04-05,14637.799805,-1.5560296432615794,0.5476870523807815,0.02558219626085026,0.0882826489051417,0.8826322068523244,1.6540614833728284,1.6315350628037604,1.6096638264262115,1.5884287181134664,1.5678112359890033,8.05150032670527,3
2021-04-06,14683.5,0.31172036921621044,-0.41118059800643386,0.025891963752551355,0.08802270535582175,0.8827373045043652,1.4906271737271917,1.4729332136178224,1.4557566247275853,1.4390822791271345,1.4228954912276288,7.281294782427363,3
2021-04-07,14819.049805,0.918908770298526,0.55928520047045,0.025895605986494544,0.08802896173040999,0.8825007650764777,1.4021902363693555,1.3867629130213304,1.37179023710701,1.3572588100423166,1.3431556281031056,6.861157824643119,3
2021-04-08,14873.799805,0.3687760707859114,0.3977956704219617,0.02611770128792508,0.08802749361311452,0.8819962798458825,1.2665665796971413,1.2547173942628014,1.2432234026953677,1.2320739576230197,1.221258730841967,6.217840065120297,3
2021-04-09,14834.849609,-0.2622146686949638,1.9429333583566237,0.026370242621076224,0.08817700982936286,0.881301765039847,1.1480452557763847,1.1393757506855744,1.1309708495114132,1.1228224762181906,1.1149228012607002,5.656137133452264,3
2021-04-12,14310.799805,-3.596463277012432,-0.09848257275458083,0.02552554275366836,0.08797497408130717,0.8838887036916652,2.243727472158882,2.2061227757662536,2.169576137228578,2.134057786689113,2.099538791905399,10.853022963748225,3
2021-04-13,14504.799805,1.346513234440828,-0.017234188768094683,0.02547377797108082,0.08823450371643018,0.8835419366610633,2.152744592425941,2.1174602550406596,2.0831717672553127,2.049851022649341,2.017470708065422,10.420698345436676,3
